code_key,filename,width,height,ratio,v2_note
hero_workshop,hero-workshop-production.jpg,2400,1350,2400:1350,"Patched v2: readable wall/shirt text removed; exported as 16:9. Still AI-preview, not real workshop photo."
b2b_components_series,b2b-short-series-wood-components.jpg,2400,1800,2400:1800,Replaced smooth blocks with more technical repeated profiles with holes/grooves and larger batch visibility.
b2b_components_detail,b2b-repeated-wooden-elements-detail.jpg,2400,2400,2400:2400,Square detail crop focused on front technical profiles and repeated holes/grooves.
b2b_packing,wood-components-packed-for-shipping.jpg,2400,1800,2400:1800,Kept cleaner no-logo packaging shot; exported with responsive variants.
drawing_spec,woodwork-from-drawing-specification.jpg,2400,1800,2400:1800,Kept drawing/spec shot with physical wood sample and hand; exported with OG crop.
precision_detail,wood-joinery-detail-closeup.jpg,2400,2400,2400:2400,Kept square close-up of joinery/spasowanie; already main detail asset.
finished_edge_detail,finished-wood-edge-detail.jpg,2400,2400,2400:2400,Kept square close-up of rounded/final edge.
stairs_project,wooden-stairs-pomorskie.jpg,2400,1800,2400:1800,Kept stairs whole-view preview; needs real Kajax realization later.
stairs_detail,wooden-stairs-detail-wejherowo.jpg,2400,1800,2400:1800,Kept stair detail with railing/post/treads visible.
doors_detail,wooden-doors-joinery-detail.jpg,2400,1800,2400:1800,Kept door/frame/trim/threshold detail.
wooden_trims,wooden-trims-made-to-measure.jpg,2400,1800,2400:1800,Kept profiled trims on workbench; good bridge between B2B and local joinery.
built_in_project,built-in-woodwork-project.jpg,2400,1800,2400:1800,Kept built-in wall/panel project; not kitchen-specific.
artistic_detail,architectural-woodwork-detail.jpg,2400,1800,2400:1800,Uses credible profiled/routed elements instead of palace/fantasy carving.
materials,wood-material-samples-workshop.jpg,2400,1800,2400:1800,"Kept material samples, no readable labels."
boards,solid-wood-boards-for-joinery.jpg,2400,1800,2400:1800,"Kept stack of boards; exported cleanly as standalone, no contact-sheet caption."
craft_checking,craftsman-checking-wood-detail.jpg,2400,1800,2400:1800,"Kept hands/caliper quality-control shot, face secondary/absent."
cutting_process,wood-cutting-workshop-process.jpg,2400,1800,2400:1800,Kept safe machine/preparation process; no hands near blade.
sanding_process,wood-sanding-finishing-process.jpg,2400,1800,2400:1800,Kept sanding/finishing process with element visible.
clamped_elements,wood-elements-clamped-for-assembly.jpg,2400,1800,2400:1800,"Kept aligned clamp/dry-fit assembly, no caption/label."
